year,age,event,category1,category2,Name,Career/Personal Life
1937,80,Lord Baden Powell gave guidance to the world-wide Girl Guide/Girl Scout Movement until retiring in 1937.,summary,,Lord Baden Powell,Personal Life
1857,0,"Lord Baden Powell was born as Robert Stephenson Smyth Powell at 6 Stanhope Street (now 11 Stanhope Terrace), Paddington, London, on 22 February 1857.",Early life,,Lord Baden Powell,Personal Life
1897,40,"In 1897, at the age of 40, Lord Baden Powell was brevetted colonel (the youngest colonel in the British Army) and given command of the 5th Dragoon Guards in India.",Military career,,Lord Baden Powell,Personal Life
1901,44,"Briefly back in the United Kingdom in October 1901, Lord Baden Powell was invited to visit King Edward VII at Balmoral, King Edward VII's Scottish retreat, and personally invested as Companion of the Order of the Bath (Lord Baden Powell was given the role of organising the South African Constabulary, a colonial police force, but during this phase, Lord Baden Powell was sent to Britain on sick leave, so Lord Baden Powell was only in command for seven months.[0",After Mafeking,,Lord Baden Powell,Personal Life
1915,58,"In 1915, Lord Baden Powell's book ""My Adventures as a Spy"" was published, which was interpreted as indicating that Lord Baden Powell had been active as a spy during the First World War.",After Mafeking,,Lord Baden Powell,Personal Life
1937,80,"In 1937, Lord Baden Powell was appointed to the Order of Merit, one of the most exclusive awards in the British honours system, and Lord Baden Powell was also awarded 28 decorations by foreign states, including the Grand Officer of the Portuguese Order of Christ, the Grand Commander of the Greek Order of the Redeemer (1920), the Commander of the French Légion d'honneur (1925), the First Class of the Hungarian Order of Merit (1929), the Grand Cross of the Order of the Dannebrog of Denmark, the Grand Cross of the Order of the White Lion, the Grand Cross of the Order of the Phoenix, and the Order of Polonia Restituta.",Recognition,,Lord Baden Powell,Career
1937,80,Lord Baden Powell was awarded the Wateler Peace Prize in 1937.,Recognition,,Lord Baden Powell,Career
2002,145,"In 2002, Lord Baden Powell was named 13th in the BBC's list of the 100 Greatest Britons following a UK-wide vote.",Recognition,,Lord Baden Powell,Career
