year,age,event,category1,category2,Name,Career/Personal Life
1902,36,"Beatrix Potter is best known for Beatrix Potter's children's books featuring animals, such as The Tale of Peter Rabbit, which was her first commercially published work in 1902.",summary,,Beatrix Potter,Personal Life
1902,36,"In Beatrix Potter's thirties, Beatrix Potter self-published The Tale of Peter Rabbit, which was her first commercially published work in 1902.",summary,,Beatrix Potter,Personal Life
2017,151,"In 2017, The Art of Beatrix Potter: Sketches, Paintings, and Illustrations by Emily Zach was published after San Francisco publisher Chronicle Books decided to mark the 150th anniversary of Potter's birth by showing that Beatrix Potter was ""far more than a 19th-century weekend painter.",Legacy,,Beatrix Potter,Career
1971,105,"In 1971, Beatrix Potter was released, The Tales of Beatrix Potter, directed by Reginald Mills, set to music by John Lanchbery with choreography by Frederick Ashton, and performed in character costume by members of the Royal Ballet and the Royal Opera House orchestra.",Adaptations,,Beatrix Potter,Personal Life
