year,age,event,category1,category2,Name,Career/Personal Life
2011,51,"Tim Cook was appointed chief executive on August 24, 2011 after Jobs, who was ill and died that October, resigned.",summary,,Tim Cook,Personal Life
2015,55,"Outside of Apple Inc., Tim Cook engages in philanthropy; in March 2015 Tim Cook said Tim Cook planned to donate Tim Cook's fortune to charity.",summary,,Tim Cook,Career
1982,22,Tim Cook earned a Bachelor of Science degree with a major in industrial engineering from Auburn University in 1982 and a Master of Business Administration from Duke University in 1988.,Early life and education,,Tim Cook,Personal Life
2007,47,"In January 2007, Tim Cook was promoted to lead operations and served as chief executive in 2009, while Steve Jobs, in failing health, was away on a leave of absence.",Career,Apple era,Tim Cook,Personal Life
2011,51,"After Steve Jobs resigned as CEO and became chairman of Apple's board of directors, Tim Cook was named the new chief executive officer of Apple on August 24, 2011.",Career,Apple era,Tim Cook,Personal Life
2011,51,"While it had been reported in early 2011 that Tim Cook was gay, at the time, and prior to Tim Cook's October 2014 public statement, Tim Cook chose to keep Tim Cook's personal life private.",Public image,Public affiliations,Tim Cook,Career
2018,58,"""In 2018, at a privacy conference in Brussels, Tim Cook expressed Tim Cook's opinions on the stockpiling of personal data by tech firms, suggesting that the stockpiling of personal data by tech firms amounted to surveillance and should make the public ""very uncomfortable.",Public image,Public affiliations,Tim Cook,Career
2015,55,"In September 2015, Tim Cook clarified on The Late Show with Stephen Colbert, ""Where Tim Cook valued my privacy significantly, Tim Cook felt that Tim Cook was valuing my privacy too far above what Tim Cook could do for other people, so Tim Cook wanted to tell everyone Tim Cook's truth.""",Personal life,,Tim Cook,Career
