year,age,event,category1,category2,Name,Career/Personal Life
1910,17,"Paramahansa Yogananda began praying for guidance; in 1910, Paramahansa Yogananda's seeking after various teachers mostly ended when, at the age of 17, Paramahansa Yogananda met his guru, Swami Sri Yukteswar Giri; at that time a sacred amulet mysteriously vanished, having served a sacred amulet's spiritual purpose.",Biography,Youth and discipleship,Paramahansa Yogananda,Career
1920,27,"Paramahansa Yogananda lived in America from 1920 to 1952, interrupted by an extended trip abroad in 1935–1936, and through Paramahansa Yogananda's disciples Paramahansa Yogananda developed various temples and meditation centers around the world.[0",Biography,Teaching in America,Paramahansa Yogananda,Career
1929,36,"In 1929, Paramahansa Yogananda was sued by his long-time friend Basu Kumar Bagchi, who had been initiated as Swami Dhirananda by Yogananda in 1911 and had come to help Yogananda teach in America.",Biography,Teaching in America,Paramahansa Yogananda,Career
1935,42,"In August 1935, Paramahansa Yogananda arrived in India at the port of Mumbai, then called Bombay, and due to Paramahansa Yogananda's fame in America, many photographers and journalists came to meet Paramahansa Yogananda during Paramahansa Yogananda's short stay at the Taj Mahal Hotel.",Biography,"Visit to India, 1935–1936",Paramahansa Yogananda,Career
1936,43,"During Paramahansa Yogananda's stay in India, Paramahansa Yogananda saw Paramahansa Yogananda's Ranchi boys' school become legally incorporated, and took a touring group to visit various locales: the Taj Mahal in Agra, the Chamundeshwari Temple in Mysore, Allahabad for the Kumbh Mela of January 1936, and Brindaban to visit an exalted disciple of Lahiri Mahasaya, Swami Keshabananda.Paramahansa Yogananda",Biography,"Visit to India, 1935–1936",Paramahansa Yogananda,Career
1920,27,"In 1920 ""Paramahansa Yogananda was invited to serve as India's delegate to an International Congress of Religious Liberals convening in Boston.",Teachings,,Paramahansa Yogananda,Career
1917,24,Paramahansa Yogananda founded Yogoda Satsanga Society of India (YSS) in 1917 and then expanded Yogoda Satsanga Society of India (YSS) in 1920 to the United States naming Yogoda Satsanga Society of India (YSS) the Self-Realization Fellowship.,Legacy,Self-Realization Fellowship/Yogoda Satsanga Society of India,Paramahansa Yogananda,Personal Life
